127.0.0.1 - - [17/Apr/2020:09:58:07 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:08 +0900] "GET /home/index.jsp HTTP/1.1" 200 11242
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:08 +0900] "GET /home/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:08 +0900] "GET /home/module/etc.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:08 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:22 +0900] "GET /home/index.jsp HTTP/1.1" 200 19482
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:24 +0900] "GET /home/shop_list.jsp?category=22 HTTP/1.1" 200 6064
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:24 +0900] "GET /home/css/shop_list.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:25 +0900] "GET /home/shop_list.jsp?category=33 HTTP/1.1" 200 6517
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:25 +0900] "GET /home/shop_list.jsp?category=44 HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:26 +0900] "GET /home/shop_list_item.jsp?item=new HTTP/1.1" 200 6239
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:28 +0900] "GET /home/member/loginForm.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:28 +0900] "GET /home/member/joinForm.jsp HTTP/1.1" 200 6801
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:29 +0900] "GET /home/shop_list.jsp?category=44 HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:30 +0900] "GET /home/cart/cart_list.jsp HTTP/1.1" 200 777
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:30 +0900] "GET /home/cart/css/cart_main.css HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:30 +0900] "GET /home/cart/css/cart_list.css HTTP/1.1" 200 1878
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:31 +0900] "GET /home/member/loginForm.jsp HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:32 +0900] "GET /home/shop_list.jsp?category=44 HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:33 +0900] "GET /home/member/joinForm.jsp HTTP/1.1" 200 6801
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:34 +0900] "GET /home/shop_list.jsp?category=44 HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:34 +0900] "GET /home/shop_list.jsp?category=22 HTTP/1.1" 200 6064
0:0:0:0:0:0:0:1 - - [17/Apr/2020:09:58:36 +0900] "GET /home/index.jsp HTTP/1.1" 200 19482
0:0:0:0:0:0:0:1 - - [17/Apr/2020:10:04:58 +0900] "GET /home/index.jsp HTTP/1.1" 200 14975
